P4_Ag_4_T AT1_10
P4_Ag_27_T AT21_660
P6_Ag_15_T AT31_936
P10_Nat_1_T AT5_114
P10_Nat_16_T AT15_517
P16_Ag_10_T AT2_59
P1_Ag_5_T AT36_514
P7_Nat_6_T AT1_13
P11_Nat_3_T AT21_661
P7_Nat_19_T AT32_938
P17_Nat_23_T AT5_128
P6_Ag_16_T AT15_518
P1_Nat_6_T AT36_516
P10_Ag_7_T AT21_664
P4_Ag_18_T AT32_940
P14_Ag_17_T AT5_130
P15_Ag_14_T AT15_522
P5_Ag_6_T AT3_66
P4_Nat_26_T AT11_402
P6_Ag_10_T AT21_665
P5_Ag_5_T AT32_943
P15_Nat_1_T AT5_137
P4_Nat_27_T AT15_530
P14_Nat_2_T AT26_801
P11_Ag_6_T AT3_69
P4_Ag_15_T AT11_411
P7_Nat_12_T AT21_666
P6_Nat_15_T AT32_945
P11_Ag_4_T AT5_138
P7_Ag_14_T AT15_532
P4_Nat_19_T AT26_803
P2_Nat_5_T AT3_71
P10_Ag_4_T AT11_414
P4_Ag_11_T AT21_668
P16_Ag_24_T AT32_949
P4_Ag_2_T AT5_141
P5_Ag_3_T AT1_6
P17_Nat_22_T AT26_804
P4_Nat_7_T AT3_74
P5_Ag_7_T AT11_415
P15_Ag_1_T AT21_673
P14_Ag_9_T AT32_952
P4_Nat_13_T AT5_142
P17_Ag_3_T AT16_533
P16_Ag_16_T AT27_814
P11_Nat_14_T AT37_520
P16_Nat_6_T AT11_416
P7_Ag_8_T AT22_674
P10_Ag_11_T AT32_953
P16_Nat_19_T AT6_146
P4_Ag_23_T AT16_536
P4_Ag_16_T AT27_815
P10_Ag_17_T AT37_521
P5_Nat_17_T AT11_418
P14_Ag_16_T AT22_676
P7_Nat_17_T AT32_961
P14_Ag_14_T AT6_224
P14_Ag_20_T AT16_539
P7_Ag_15_T AT27_819
P5_Nat_16_T AT37_567
P1_Ag_14_T AT11_424
P4_Nat_22_T AT22_677
P1_Nat_11_T AT33_119
P17_Ag_22_T AT6_249
P1_Nat_9_T AT16_544
P17_Nat_5_T AT27_827
P2_Nat_13_T AT37_572
P1_Nat_5_T AT1_18
P2_Ag_7_T AT22_678
P4_Ag_29_T AT33_29
P14_Ag_2_T AT6_250
P2_Nat_11_T AT16_545
P14_Nat_25_T AT27_833
P16_Ag_1_T AT3_76
P15_Ag_8_T AT1_20
P6_Nat_1_T AT22_689
P1_Nat_4_T AT33_932
P15_Ag_13_T AT6_252
P17_Ag_8_T AT16_546
P5_Nat_18_T AT27_834
P10_Ag_8_T AT37_669
P1_Ag_16_T AT1_2
P10_Nat_15_T AT22_692
P14_Nat_22_T AT6_254
P7_Nat_18_T AT16_549
P14_Ag_5_T AT37_793
P4_Ag_28_T AT12_426
P17_Ag_9_T AT2_28
P6_Ag_12_T AT33_964
P14_Ag_19_T AT6_258
P4_Nat_4_T AT28_848
P17_Nat_20_T AT37_813
P15_Ag_15_T AT12_427
P4_Nat_10_T AT2_31
P5_Ag_16_T AT33_965
P10_Ag_12_T AT6_261
P15_Nat_2_T AT17_557
P14_Nat_18_T AT28_849
P1_Nat_12_T AT37_867
P4_Nat_23_T AT12_428
P7_Nat_9_T AT2_33
P4_Nat_15_T AT33_967
P11_Ag_15_T AT7_262
P10_Ag_9_T AT17_563
P14_Ag_6_T AT28_850
P4_Nat_24_T AT38_511
P17_Nat_1_T AT12_432
P5_Ag_1_T AT2_36
P2_Nat_4_T AT33_968
P11_Nat_11_T AT7_269
P2_Nat_3_T AT17_564
P10_Nat_17_T AT28_852
P7_Ag_1_T AT38_600
P11_Nat_6_T AT12_447
P10_Nat_6_T AT23_693
P17_Nat_9_T AT34_350
P14_Nat_12_T AT7_280
P17_Nat_21_T AT17_568
P4_Nat_18_T AT28_853
P5_Nat_15_T AT38_624
P6_Ag_1_T AT12_449
P2_Ag_15_T AT23_698
P10_Nat_2_T AT34_355
P11_Ag_14_T AT7_282
P7_Ag_6_T AT17_569
P4_Nat_25_T AT28_856
P5_Ag_10_T AT38_679
P15_Ag_4_T AT12_458
P16_Ag_18_T AT23_717
P2_Nat_8_T AT34_356
P16_Nat_7_T AT7_283
P16_Nat_2_T AT17_570
P17_Ag_10_T AT28_860
P17_Ag_6_T AT12_461
P4_Ag_19_T AT23_722
P16_Nat_4_T AT34_363
P7_Ag_11_T AT7_289
P1_Ag_10_T AT18_571
P11_Nat_8_T AT29_864
P17_Nat_4_T AT39_701
P4_Nat_14_T AT1_27
P7_Ag_10_T AT23_723
P4_Ag_24_T AT34_370
P16_Ag_6_T AT7_291
P4_Ag_9_T AT18_576
P14_Ag_13_T AT29_870
P6_Ag_5_T AT39_716
P6_Nat_3_T AT13_465
P5_Ag_13_T AT23_726
P1_Nat_8_T AT34_374
P2_Nat_7_T AT7_294
P6_Ag_11_T AT18_582
P1_Ag_1_T AT29_876
P17_Nat_17_T AT39_747
P15_Nat_6_T AT13_466
P15_Ag_7_T AT24_732
P14_Ag_3_T AT8_298
P1_Nat_3_T AT18_585
P6_Nat_13_T AT29_880
P6_Ag_6_T AT39_792
P16_Ag_21_T AT13_467
P6_Nat_6_T AT24_733
P4_Nat_21_T AT35_103
P7_Ag_9_T AT8_304
P17_Nat_16_T AT18_587
P11_Nat_5_T AT29_886
P15_Nat_12_T AT39_806
P10_Nat_12_T AT13_468
P14_Ag_10_T AT24_734
P1_Nat_18_T AT35_107
P15_Ag_18_T AT8_305
P15_Ag_6_T AT18_589
P16_Ag_14_T AT30_889
P2_Ag_6_T AT39_821
P17_Nat_10_T AT13_469
P4_Nat_8_T AT24_740
P7_Ag_12_T AT35_255
P16_Nat_9_T AT8_309
P15_Nat_5_T AT18_593
P1_Ag_18_T AT40_805
P1_Nat_10_T AT13_472
P2_Ag_11_T AT24_750
P10_Nat_7_T AT35_278
P14_Ag_1_T AT8_311
P6_Nat_4_T AT18_594
P4_Ag_25_T AT30_894
P4_Ag_6_T AT40_832
P4_Ag_8_T AT13_473
P4_Nat_29_T AT24_757
P15_Ag_11_T AT35_325
P16_Nat_12_T AT8_312
P14_Ag_8_T AT19_602
P4_Nat_1_T AT30_896
P10_Ag_14_T AT40_872
P1_Ag_4_T AT13_480
P4_Ag_3_T AT24_758
P2_Ag_10_T AT35_391
P16_Ag_7_T AT8_313
P17_Nat_11_T AT19_608
P14_Nat_20_T AT30_897
P7_Nat_3_T AT40_873
P14_Nat_26_T AT14_483
P7_Ag_7_T AT2_50
P7_Nat_13_T AT35_441
P1_Ag_17_T AT8_314
P2_Nat_9_T AT19_613
P2_Nat_16_T AT30_898
P5_Nat_2_T AT40_879
P14_Nat_8_T AT14_492
P4_Nat_2_T AT2_53
P15_Ag_20_T AT35_456
P1_Ag_12_T AT9_318
P17_Ag_21_T AT19_615
P4_Nat_17_T AT30_903
P17_Ag_1_T AT4_110
P2_Nat_14_T AT14_493
P2_Ag_4_T AT2_57
P15_Nat_8_T AT3_60
P15_Ag_19_T AT9_321
P16_Nat_15_T AT20_629
P17_Ag_20_T AT30_912
P6_Ag_2_T AT4_111
P2_Ag_16_T AT14_494
P5_Ag_17_T AT3_61
P16_Ag_15_T AT9_330
P14_Nat_3_T AT20_632
P4_Nat_6_T AT31_913
P11_Nat_1_T AT4_78
P14_Nat_15_T AT14_495
P5_Nat_9_T AT25_762
P5_Nat_7_T AT3_62
P14_Ag_7_T AT9_335
P14_Nat_5_T AT20_634
P1_Ag_7_T AT31_917
P5_Ag_2_T AT4_80
P16_Ag_12_T AT14_503
P11_Nat_4_T AT36_459
P2_Nat_15_T AT9_338
P14_Ag_4_T AT20_641
P2_Ag_5_T AT31_923
P4_Ag_12_T AT4_91
P15_Ag_3_T AT14_504
P5_Ag_15_T AT25_767
P15_Nat_4_T AT36_464
P14_Nat_19_T AT9_339
P11_Ag_11_T AT20_643
P11_Nat_9_T AT31_924
P7_Ag_4_T AT4_93
P10_Nat_8_T AT14_506
P11_Nat_12_T AT25_771
P2_Nat_2_T AT36_485
P5_Ag_8_T AT9_341
P14_Nat_4_T AT20_648
P17_Nat_12_T AT4_97
P1_Ag_19_T AT1_5
P17_Ag_16_T AT25_772
P11_Nat_13_T AT36_486
P6_Ag_18_T AT9_345
P10_Nat_10_T AT20_654
P17_Ag_24_T AT31_927
P15_Ag_9_T AT4_99
P16_Nat_24_T AT15_508
P1_Ag_3_T AT25_781
P14_Nat_23_T AT36_505
P2_Nat_10_T AT21_657
P10_Nat_11_T AT31_935
P6_Ag_7_T AT5_112
P5_Ag_18_T AT15_513
P6_Nat_9_T AT25_784
P1_Ag_2_T AT36_509
342 342
450 450
503 503
