AT1_10	P4_Ag_4_T
AT21_660	P4_Ag_27_T
AT31_936	P6_Ag_15_T
AT5_114	P10_Nat_1_T
AT15_517	P10_Nat_16_T
AT2_59	P16_Ag_10_T
AT36_514	P1_Ag_5_T
AT1_13	P7_Nat_6_T
AT21_661	P11_Nat_3_T
AT32_938	P7_Nat_19_T
AT5_128	P17_Nat_23_T
AT15_518	P6_Ag_16_T
AT26_786	P17_Nat_7_T
AT36_516	P1_Nat_6_T
AT11_395	P17_Ag_7_T
AT21_664	P10_Ag_7_T
AT32_940	P4_Ag_18_T
AT5_130	P14_Ag_17_T
AT15_522	P15_Ag_14_T
AT26_787	P4_Nat_3_T
AT3_66	P5_Ag_6_T
AT11_402	P4_Nat_26_T
AT21_665	P6_Ag_10_T
AT32_943	P5_Ag_5_T
AT5_137	P15_Nat_1_T
AT15_530	P4_Nat_27_T
AT26_801	P14_Nat_2_T
AT3_69	P11_Ag_6_T
AT11_411	P4_Ag_15_T
AT21_666	P7_Nat_12_T
AT32_945	P6_Nat_15_T
AT5_138	P11_Ag_4_T
AT15_532	P7_Ag_14_T
AT26_803	P4_Nat_19_T
AT3_71	P2_Nat_5_T
AT11_414	P10_Ag_4_T
AT21_668	P4_Ag_11_T
AT32_949	P16_Ag_24_T
AT5_141	P4_Ag_2_T
AT1_6	P5_Ag_3_T
AT26_804	P17_Nat_22_T
AT3_74	P4_Nat_7_T
AT11_415	P5_Ag_7_T
AT21_673	P15_Ag_1_T
AT32_952	P14_Ag_9_T
AT5_142	P4_Nat_13_T
AT16_533	P17_Ag_3_T
AT27_814	P16_Ag_16_T
AT37_520	P11_Nat_14_T
AT11_416	P16_Nat_6_T
AT22_674	P7_Ag_8_T
AT32_953	P10_Ag_11_T
AT6_146	P16_Nat_19_T
AT16_536	P4_Ag_23_T
AT27_815	P4_Ag_16_T
AT37_521	P10_Ag_17_T
AT11_418	P5_Nat_17_T
AT22_676	P14_Ag_16_T
AT32_961	P7_Nat_17_T
AT6_224	P14_Ag_14_T
AT16_539	P14_Ag_20_T
AT27_819	P7_Ag_15_T
AT37_567	P5_Nat_16_T
AT11_424	P1_Ag_14_T
AT22_677	P4_Nat_22_T
AT33_119	P1_Nat_11_T
AT6_249	P17_Ag_22_T
AT16_544	P1_Nat_9_T
AT27_827	P17_Nat_5_T
AT37_572	P2_Nat_13_T
AT1_18	P1_Nat_5_T
AT22_678	P2_Ag_7_T
AT33_29	P4_Ag_29_T
AT6_250	P14_Ag_2_T
AT16_545	P2_Nat_11_T
AT27_833	P14_Nat_25_T
AT3_76	P16_Ag_1_T
AT1_20	P15_Ag_8_T
AT22_689	P6_Nat_1_T
AT33_932	P1_Nat_4_T
AT6_252	P15_Ag_13_T
AT16_546	P17_Ag_8_T
AT27_834	P5_Nat_18_T
AT37_669	P10_Ag_8_T
AT1_2	P1_Ag_16_T
AT22_692	P10_Nat_15_T
AT33_962	P16_Ag_17_T
AT6_254	P14_Nat_22_T
AT16_549	P7_Nat_18_T
AT28_847	P4_Ag_1_T
AT37_793	P14_Ag_5_T
AT12_426	P4_Ag_28_T
AT2_28	P17_Ag_9_T
AT33_964	P6_Ag_12_T
AT6_258	P14_Ag_19_T
AT17_551	P17_Nat_19_T
AT28_848	P4_Nat_4_T
AT37_813	P17_Nat_20_T
AT12_427	P15_Ag_15_T
AT2_31	P4_Nat_10_T
AT33_965	P5_Ag_16_T
AT6_261	P10_Ag_12_T
AT17_557	P15_Nat_2_T
AT28_849	P14_Nat_18_T
AT37_867	P1_Nat_12_T
AT12_428	P4_Nat_23_T
AT2_33	P7_Nat_9_T
AT33_967	P4_Nat_15_T
AT7_262	P11_Ag_15_T
AT17_563	P10_Ag_9_T
AT28_850	P14_Ag_6_T
AT38_511	P4_Nat_24_T
AT12_432	P17_Nat_1_T
AT2_36	P5_Ag_1_T
AT33_968	P2_Nat_4_T
AT7_269	P11_Nat_11_T
AT17_564	P2_Nat_3_T
AT28_852	P10_Nat_17_T
AT38_600	P7_Ag_1_T
AT12_447	P11_Nat_6_T
AT23_693	P10_Nat_6_T
AT34_350	P17_Nat_9_T
AT7_280	P14_Nat_12_T
AT17_568	P17_Nat_21_T
AT28_853	P4_Nat_18_T
AT38_624	P5_Nat_15_T
AT12_449	P6_Ag_1_T
AT23_698	P2_Ag_15_T
AT34_355	P10_Nat_2_T
AT7_282	P11_Ag_14_T
AT17_569	P7_Ag_6_T
AT28_856	P4_Nat_25_T
AT38_679	P5_Ag_10_T
AT12_458	P15_Ag_4_T
AT23_717	P16_Ag_18_T
AT34_356	P2_Nat_8_T
AT7_283	P16_Nat_7_T
AT17_570	P16_Nat_2_T
AT28_860	P17_Ag_10_T
AT38_680	P4_Nat_16_T
AT12_461	P17_Ag_6_T
AT23_722	P4_Ag_19_T
AT34_363	P16_Nat_4_T
AT7_289	P7_Ag_11_T
AT18_571	P1_Ag_10_T
AT29_864	P11_Nat_8_T
AT39_701	P17_Nat_4_T
AT1_27	P4_Nat_14_T
AT23_723	P7_Ag_10_T
AT34_370	P4_Ag_24_T
AT7_291	P16_Ag_6_T
AT18_576	P4_Ag_9_T
AT29_870	P14_Ag_13_T
AT39_716	P6_Ag_5_T
AT13_465	P6_Nat_3_T
AT23_726	P5_Ag_13_T
AT34_374	P1_Nat_8_T
AT7_294	P2_Nat_7_T
AT18_582	P6_Ag_11_T
AT29_876	P1_Ag_1_T
AT39_747	P17_Nat_17_T
AT13_466	P15_Nat_6_T
AT24_732	P15_Ag_7_T
AT34_379	P7_Nat_1_T
AT8_298	P14_Ag_3_T
AT18_585	P1_Nat_3_T
AT29_880	P6_Nat_13_T
AT39_792	P6_Ag_6_T
AT13_467	P16_Ag_21_T
AT24_733	P6_Nat_6_T
AT35_103	P4_Nat_21_T
AT8_304	P7_Ag_9_T
AT18_587	P17_Nat_16_T
AT29_886	P11_Nat_5_T
AT39_806	P15_Nat_12_T
AT13_468	P10_Nat_12_T
AT24_734	P14_Ag_10_T
AT35_107	P1_Nat_18_T
AT8_305	P15_Ag_18_T
AT18_589	P15_Ag_6_T
AT30_889	P16_Ag_14_T
AT39_821	P2_Ag_6_T
AT13_469	P17_Nat_10_T
AT24_740	P4_Nat_8_T
AT35_255	P7_Ag_12_T
AT8_309	P16_Nat_9_T
AT18_593	P15_Nat_5_T
AT30_890	P4_Ag_26_T
AT40_805	P1_Ag_18_T
AT13_472	P1_Nat_10_T
AT24_750	P2_Ag_11_T
AT35_278	P10_Nat_7_T
AT8_311	P14_Ag_1_T
AT18_594	P6_Nat_4_T
AT30_894	P4_Ag_25_T
AT40_832	P4_Ag_6_T
AT13_473	P4_Ag_8_T
AT24_757	P4_Nat_29_T
AT35_325	P15_Ag_11_T
AT8_312	P16_Nat_12_T
AT19_602	P14_Ag_8_T
AT30_896	P4_Nat_1_T
AT40_872	P10_Ag_14_T
AT13_480	P1_Ag_4_T
AT24_758	P4_Ag_3_T
AT35_391	P2_Ag_10_T
AT8_313	P16_Ag_7_T
AT19_608	P17_Nat_11_T
AT30_897	P14_Nat_20_T
AT40_873	P7_Nat_3_T
AT14_483	P14_Nat_26_T
AT2_50	P7_Ag_7_T
AT35_441	P7_Nat_13_T
AT8_314	P1_Ag_17_T
AT19_613	P2_Nat_9_T
AT30_898	P2_Nat_16_T
AT40_879	P5_Nat_2_T
AT14_492	P14_Nat_8_T
AT2_53	P4_Nat_2_T
AT35_456	P15_Ag_20_T
AT9_318	P1_Ag_12_T
AT19_615	P17_Ag_21_T
AT30_903	P4_Nat_17_T
AT4_110	P17_Ag_1_T
AT14_493	P2_Nat_14_T
AT2_57	P2_Ag_4_T
AT3_60	P15_Nat_8_T
AT9_321	P15_Ag_19_T
AT20_629	P16_Nat_15_T
AT30_912	P17_Ag_20_T
AT4_111	P6_Ag_2_T
AT14_494	P2_Ag_16_T
AT3_61	P5_Ag_17_T
AT9_330	P16_Ag_15_T
AT20_632	P14_Nat_3_T
AT31_913	P4_Nat_6_T
AT4_78	P11_Nat_1_T
AT14_495	P14_Nat_15_T
AT25_762	P5_Nat_9_T
AT3_62	P5_Nat_7_T
AT9_335	P14_Ag_7_T
AT20_634	P14_Nat_5_T
AT31_917	P1_Ag_7_T
AT4_80	P5_Ag_2_T
AT14_503	P16_Ag_12_T
AT36_459	P11_Nat_4_T
AT9_338	P2_Nat_15_T
AT20_641	P14_Ag_4_T
AT31_923	P2_Ag_5_T
AT4_91	P4_Ag_12_T
AT14_504	P15_Ag_3_T
AT25_767	P5_Ag_15_T
AT36_464	P15_Nat_4_T
AT9_339	P14_Nat_19_T
AT20_643	P11_Ag_11_T
AT31_924	P11_Nat_9_T
AT4_93	P7_Ag_4_T
AT14_506	P10_Nat_8_T
AT25_771	P11_Nat_12_T
AT36_485	P2_Nat_2_T
AT9_341	P5_Ag_8_T
AT20_648	P14_Nat_4_T
AT31_926	P17_Ag_4_T
AT4_97	P17_Nat_12_T
AT1_5	P1_Ag_19_T
AT25_772	P17_Ag_16_T
AT36_486	P11_Nat_13_T
AT9_345	P6_Ag_18_T
AT20_654	P10_Nat_10_T
AT31_927	P17_Ag_24_T
AT4_99	P15_Ag_9_T
AT15_508	P16_Nat_24_T
AT25_781	P1_Ag_3_T
AT36_505	P14_Nat_23_T
AT21_657	P2_Nat_10_T
AT31_935	P10_Nat_11_T
AT5_112	P6_Ag_7_T
AT15_513	P5_Ag_18_T
AT25_784	P6_Nat_9_T
AT36_509	P1_Ag_2_T
342	342
450	450
503	503
556	556
4801	4801
4802	4802
4803	4803
4806	4806
4809	4809
4810	4810
4813	4813
4814	4814
4819	4819
4820	4820
4821	4821
4822	4822
4826	4826
4828	4828
4830	4830
4832	4832
4841	4841
4846	4846
4850	4850
4854	4854
4860	4860
4861	4861
4862	4862
4866	4866
4869	4869
4873	4873
4875	4875
4876	4876
4882	4882
4886	4886
4887	4887
4888	4888
4891	4891
4895	4895
4899	4899
4902	4902
4907	4907
4909	4909
4912	4912
4917	4917
4919	4919
4921	4921
4925	4925
4928	4928
4933	4933
4935	4935
4939	4939
4944	4944
4948	4948
4955	4955
4958	4958
4960	4960
4964	4964
4965	4965
4966	4966
4968	4968
4977	4977
4979	4979
4981	4981
4982	4982
4984	4984
4989	4989
5002	5002
5006	5006
5008	5008
5015	5015
5018	5018
5031	5031
5032	5032
5040	5040
5053	5053
5061	5061
5066	5066
5073	5073
5079	5079
5084	5084
5086	5086
5089	5089
5097	5097
5098	5098
5099	5099
5100	5100
5102	5102
5105	5105
5110	5110
5115	5115
5116	5116
5117	5117
5122	5122
5125	5125
5134	5134
5136	5136
5137	5137
5138	5138
5142	5142
5144	5144
5145	5145
5147	5147
5150	5150
5151	5151
5156	5156
5157	5157
5161	5161
5163	5163
5165	5165
5169	5169
5170	5170
5171	5171
5176	5176
5183	5183
5189	5189
